Determiner,Pronoun_Male,Pronoun_Female,Technical_Word,Relationship_And_Personal_Life,Preposition,Common_Word_Count,Gender
98,4,2,20,46,118,80,0
110,5,12,35,40,140,87,0
70,6,2,17,33,114,75,0
72,2,0,15,31,184,75,0
102,6,8,13,39,144,82,0
120,1,1,63,28,135,98,0
99,5,5,22,57,137,86,0
76,0,2,16,38,178,64,0
119,10,4,44,80,182,96,0
76,0,0,15,31,115,58,0
113,4,3,27,46,158,96,0
135,13,16,29,28,172,84,0
144,3,3,39,40,192,87,0
75,1,8,13,58,122,82,0
72,3,0,23,55,96,69,0
69,1,1,26,38,165,75,0
64,1,0,11,25,105,54,0
106,0,0,29,38,179,85,0
67,1,5,30,36,157,68,0
91,0,4,25,35,178,84,0
114,3,0,26,39,187,84,0
122,10,8,28,44,174,89,0
95,6,2,30,47,122,81,0
58,0,4,14,27,72,63,0
100,0,0,31,42,151,78,0
181,0,0,32,22,220,63,0
107,2,3,21,49,162,86,0
110,0,5,23,50,158,88,0
72,1,2,20,43,157,68,0
136,9,3,23,35,167,89,0
123,1,2,20,37,184,76,0
105,2,1,21,39,190,75,0
99,2,8,36,55,149,81,0
106,0,0,33,47,163,82,0
112,4,5,50,49,154,84,0
63,0,0,7,11,64,54,0
115,8,9,23,53,195,88,0
87,1,0,32,36,141,75,0
73,3,4,15,34,185,76,0
90,1,4,19,42,144,89,0
72,2,0,20,45,103,80,0
93,1,2,34,45,139,62,0
134,2,2,24,34,203,93,0
136,2,0,49,22,219,82,0
152,5,5,50,53,203,87,0
119,6,6,23,41,192,89,0
90,0,0,19,53,165,70,0
121,3,1,24,34,169,89,0
64,2,1,40,14,129,64,0
129,8,13,19,47,176,85,0
150,2,0,39,48,206,88,0
159,13,0,39,47,199,91,0
90,4,0,21,38,162,86,0
98,1,2,37,40,133,85,0
115,1,3,22,30,196,83,0
109,0,1,44,40,203,86,0
136,7,7,57,44,195,94,0
79,4,0,33,43,154,86,0
66,1,1,16,24,171,64,0
109,0,0,19,45,170,84,0
145,3,2,51,47,185,90,0
90,11,5,18,40,119,84,0
118,3,6,27,41,194,81,0
96,8,5,26,34,137,83,0
105,1,6,29,53,156,84,0
62,0,9,24,51,148,70,0
25,3,4,10,24,55,68,0
86,0,4,24,37,138,82,0
145,8,0,44,41,200,91,0
113,0,4,23,42,131,71,0
102,12,4,33,28,111,77,0
138,5,2,30,50,213,93,0
108,2,3,18,44,195,90,0
60,2,13,14,27,112,75,0
93,3,3,33,46,147,89,0
62,0,0,15,69,190,70,0
92,0,7,14,53,191,83,0
105,0,2,36,58,166,73,0
63,0,2,16,24,148,70,0
108,0,2,7,20,319,50,0
49,1,4,17,25,182,62,0
105,3,3,26,38,91,69,0
63,2,4,21,33,81,82,0
96,0,3,16,26,122,92,0
151,3,6,41,66,252,91,0
51,4,1,10,27,95,78,0
131,2,1,32,50,171,77,0
72,3,1,34,34,105,77,0
109,6,1,19,37,147,84,0
51,5,2,13,52,109,74,0
88,0,5,16,30,146,79,0
138,8,0,35,48,188,94,0
79,2,1,19,37,98,71,0
70,13,11,23,35,137,86,0
90,0,2,31,23,191,82,0
125,1,8,38,37,180,88,0
90,1,0,29,21,133,69,0
112,7,0,38,51,129,87,0
125,4,6,24,51,178,90,0
82,0,1,41,46,99,78,0
62,2,4,13,36,85,65,0
69,2,1,21,21,117,64,0
74,0,0,43,31,175,75,0
78,3,1,12,29,120,76,0
73,13,1,18,23,106,81,1
122,0,0,12,15,183,55,1
93,0,1,33,42,204,88,1
91,1,3,108,24,106,74,1
134,10,1,30,44,160,97,1
95,5,2,35,52,146,86,1
121,0,1,52,53,174,77,1
69,0,3,29,34,88,71,1
90,7,2,40,33,147,86,1
115,11,1,35,31,121,86,1
139,7,1,58,72,228,82,1
74,1,0,54,19,147,74,1
99,7,7,18,21,120,80,1
94,0,2,31,41,151,82,1
123,4,1,45,42,163,89,1
149,3,1,43,43,152,87,1
91,0,2,15,21,131,81,1
88,0,0,27,53,165,76,1
150,1,0,127,120,139,62,1
87,4,2,25,30,171,87,1
117,4,3,51,43,171,87,1
52,3,1,27,36,70,72,1
138,2,2,31,35,221,81,1
147,0,2,62,43,244,81,1
52,2,3,13,31,99,68,1
137,9,3,25,70,175,89,1
84,3,8,21,26,100,72,1
116,6,4,37,34,157,89,1
83,0,3,10,38,131,86,1
30,0,0,12,12,126,56,1
